Store,SKU,Week,Sales Units
ST035,SK00158,W01,58
ST035,SK00158,W07,107
ST035,SK00158,W09,0
ST035,SK00158,W11,92
ST035,SK00158,W13,122
ST035,SK00158,W15,38
ST035,SK00158,W23,88
ST035,SK00158,W31,45
ST035,SK00158,W35,197
ST035,SK00158,W50,133
ST035,SK00269,W05,107
ST035,SK00269,W06,104
ST035,SK00269,W09,32
ST035,SK00269,W18,174
ST035,SK00269,W23,174
ST035,SK00269,W27,37
ST035,SK00269,W28,95
ST035,SK00269,W29,161
ST035,SK00269,W30,175
ST035,SK00269,W32,200
ST035,SK00269,W33,120
ST035,SK00269,W51,167
ST035,SK00300,W14,135
ST035,SK00300,W15,42
ST035,SK00300,W41,185
ST035,SK00300,W46,38
ST035,SK00300,W50,149
ST035,SK00304,W16,40
ST035,SK00304,W18,140
ST035,SK00304,W19,200
ST035,SK00304,W23,108
ST035,SK00304,W36,28
ST035,SK00304,W42,11
ST035,SK00304,W47,42
ST035,SK00766,W04,167
ST035,SK00766,W08,143
ST035,SK00766,W10,120
ST035,SK00766,W12,21
ST035,SK00766,W13,92
ST035,SK00766,W14,141
ST035,SK00766,W15,108
ST035,SK00766,W19,167
ST035,SK00766,W21,1
ST035,SK00766,W42,63
ST035,SK00766,W44,179
ST035,SK00766,W49,110
ST035,SK00786,W02,100
ST035,SK00786,W05,16
ST035,SK00786,W09,76
ST035,SK00786,W11,66
ST035,SK00786,W13,143
ST035,SK00786,W17,95
ST035,SK00786,W20,39
ST035,SK00786,W21,6
ST035,SK00786,W29,174
ST035,SK00786,W35,128
ST035,SK00786,W36,166
ST035,SK00786,W41,185
ST035,SK00786,W43,47
ST035,SK00786,W44,87
ST035,SK00960,W08,178
ST035,SK00960,W13,195
ST035,SK00960,W14,68
ST035,SK00960,W16,99
ST035,SK00960,W21,58
ST035,SK00960,W33,96
ST035,SK00960,W38,26
ST035,SK00960,W40,133
ST035,SK00960,W51,45
ST035,SK01183,W04,54
ST035,SK01183,W07,46
ST035,SK01183,W08,41
ST035,SK01183,W12,83
ST035,SK01183,W18,11
ST035,SK01183,W22,144
ST035,SK01183,W28,75
ST035,SK01183,W32,126
ST035,SK01183,W35,4
ST035,SK01183,W38,51
ST035,SK01183,W42,165
ST035,SK01183,W48,80
ST035,SK01189,W02,124
ST035,SK01189,W21,16
ST035,SK01189,W22,176
ST035,SK01189,W33,97
ST035,SK01189,W40,24
ST035,SK01189,W42,132
ST035,SK01189,W46,21
ST035,SK01193,W02,136
ST035,SK01193,W07,182
ST035,SK01193,W08,124
ST035,SK01193,W09,66
ST035,SK01193,W24,39
ST035,SK01193,W31,76
ST035,SK01193,W35,113
ST035,SK01193,W39,12
ST035,SK01193,W49,181
ST035,SK01249,W01,171
ST035,SK01249,W14,83
ST035,SK01249,W15,117
ST035,SK01249,W23,126
ST035,SK01249,W27,67
ST035,SK01249,W32,66
ST035,SK01249,W34,198
ST035,SK01319,W02,77
ST035,SK01319,W03,59
ST035,SK01319,W13,96
ST035,SK01319,W17,46
ST035,SK01319,W22,117
ST035,SK01319,W23,24
ST035,SK01319,W28,188
ST035,SK01319,W33,100
ST035,SK01319,W34,114
ST035,SK01319,W38,121
ST035,SK01319,W44,198
ST035,SK01349,W05,65
ST035,SK01349,W10,191
ST035,SK01349,W11,12
ST035,SK01349,W13,130
ST035,SK01349,W19,36
ST035,SK01349,W24,73
ST035,SK01349,W26,188
ST035,SK01349,W27,86
ST035,SK01349,W28,14
ST035,SK01349,W29,84
ST035,SK01349,W35,172
ST035,SK01349,W43,113
ST035,SK01349,W50,72
ST035,SK01549,W10,121
ST035,SK01549,W14,28
ST035,SK01549,W17,32
ST035,SK01549,W19,173
ST035,SK01549,W20,47
ST035,SK01549,W28,126
ST035,SK01549,W33,93
ST035,SK01549,W37,152
ST035,SK01549,W38,79
ST035,SK01549,W42,66
ST035,SK01566,W04,161
ST035,SK01566,W05,48
ST035,SK01566,W06,5
ST035,SK01566,W10,61
ST035,SK01566,W11,53
ST035,SK01566,W16,186
ST035,SK01566,W28,2
ST035,SK01566,W30,53
ST035,SK01566,W33,104
ST035,SK01566,W36,153
ST035,SK01566,W38,23
ST035,SK01566,W40,51
ST035,SK01566,W44,152
ST035,SK01566,W46,144
ST035,SK01642,W01,31
ST035,SK01642,W02,121
ST035,SK01642,W07,112
ST035,SK01642,W10,119
ST035,SK01642,W15,165
ST035,SK01642,W37,113
ST035,SK01642,W38,145
ST035,SK01642,W44,183
ST035,SK01642,W46,53
ST035,SK01733,W05,114
ST035,SK01733,W18,7
ST035,SK01733,W21,65
ST035,SK01733,W30,184
ST035,SK01733,W39,12
ST035,SK01733,W47,20
